,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,variety_color
7808,Australia,"Very berry, with sour candy scents and cooked red fruit flavors floating over a base of seasoned leather. Juicy, medium finish. Drink up.",Little Flinders,87,19.0,South Australia,Southern Flinders Ranges,,,,Flinders Run 2008 Little Flinders Shiraz-Cabernet Sauvignon (Southern Flinders Ranges),Shiraz-Cabernet Sauvignon,Flinders Run,#460B5E
7818,Australia,"There aren't many white wines coming out of Langhorne Creek, but this Verdelho is a good one, offering crisp, citrusy notes of pear and pineapple, medium body and a clean, refreshing finish. Drink now.",Potts' Catch,87,14.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Bleasdale 2009 Potts' Catch Verdelho (Langhorne Creek),Verdelho,Bleasdale,#277D8E
7822,Australia,"A young wine, dark purple in color, whose aromas are dominated now by oak. The sweet, sappy vanilla scents mask the grapes, but not in the mouth, where jammy berry fruit is powerfully ripe. Fortunately, the wine is dry, with lively acids. —S.H.",Miamba,87,15.0,South Australia,Barossa Valley,,,,Grant Burge 1999 Miamba Shiraz (Barossa Valley),Shiraz,Grant Burge,#471669
7828,Australia,"Smells like Pinot, combining leather, smoke and tart cherry aromas. In the mouth, this light-to-medium-weight wine doesn't show a lot of fruity flavors, but rather leather, dried spices and dusty notes. Juicy cherries gradually emerge on the finish.",,87,39.0,Tasmania,Tasmania,,Joe Czerwinski,@JoeCz,Stefano Lubiana 1999 Pinot Noir (Tasmania),Pinot Noir,Stefano Lubiana,#414286
7829,Australia,"This full-bodied effort goes down surprisingly easy. Aromas of shoe polish, black plums and a dash of black pepper presage flavors of blackberry, plum and brandied spice cake. Finishes with warm notes of chocolate and spice. —J.C.",,87,21.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Kangarilla Road 2000 Shiraz (McLaren Vale),Shiraz,Kangarilla Road,#471669
7831,Australia,"It seems as if the emphasis is more on the oak than on the fruit. But the oak is darn tasty—toasty, vanillin and bringing all sorts of dried-spice complexities to the table. The wine is creamy and full enough to support the oak, even if the cherry-berry flavors do take a back seat. —J.C.",Wilgha,87,34.0,South Australia,Coonawarra,,Joe Czerwinski,@JoeCz,Hollick 1998 Wilgha Shiraz (Coonawarra),Shiraz,Hollick,#471669
7832,Australia,"At 93% Shiraz, many wineries would have just labeled it as Shiraz, but not Hollick. The wine itself has lots of tart, almost sour, cherry fruit that marries well with the earthy, bitter undercurrents. Very smooth and supple in the mouth. Only light tannins make this a wine to drink now. —J.C.",,87,17.0,South Australia,Limestone Coast,,Joe Czerwinski,@JoeCz,Hollick 1999 Shiraz-Cabernet Sauvignon (Limestone Coast),Shiraz-Cabernet Sauvignon,Hollick,#460B5E
7838,Australia,"This kitchen-sink blend boasts a high percentage of Petit Verdot (38%), which may account for its dramatic floral aromatics. Aside from roses, cherries also play a role. In the mouth, complex floral-herbal elements have a solid underpinning of cherries and raspberries, finishing with just enough tannins to stand up to rare beef. —J.C.",Quartet,87,24.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Craneford 2000 Quartet Red (Barossa Valley),Red Blend,Craneford,#3F4788
7849,Australia,"A soft, round wine that almost seems designed for glugging. Dusty earth and dried grass aromas give way to a sweet, alcoholic attack filled with red berries and cherries. The warm, spirity finish leaves you glowing and reaching for another sip. —J.C.",Bradey Block,87,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Oliverhill 2000 Bradey Block Grenache (McLaren Vale),Grenache,Oliverhill,#481C6E
7916,Australia,"Representative of the solid values that may be found from Australia for about $20, this medium- to full-bodied Shiraz offers a blend of cherry and plum flavors, with savory elements of mocha and roasted meat. It's slightly dusty on the finish, making it food-friendly, ending with hints of cocoa and coffee. Drink now–2018.",Catapult,90,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Wirra Wirra 2012 Catapult Shiraz (McLaren Vale),Shiraz,Wirra Wirra,#471669
7918,Australia,"The Angove family is crafting some increasingly interesting wines in recent years. This blend of 55% Grenache, 25% Shiraz and 20% Mourvèdre features intriguing notes of cola, brown sugar and cinnamon layered over a plush base of ripe black cherries. It's mouthfilling and round, with a soft, licorice-tinged finish. Drink now–2018.",Family Crest,90,21.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Angove 2013 Family Crest G-S-M (McLaren Vale),G-S-M,Angove,#26818E
7932,Australia,"Despite a reported alcohol level that's moderate for its genre, this feels nicely full and rounded on the palate. Hints of vanilla and sarsaparilla accent flavors of cherries, plums and chocolate, while the tannins are supple and creamy in texture. Drink now–2018.",The Strapper Grenache-Shiraz-Mataro,90,19.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Yalumba 2012 The Strapper Grenache-Shiraz-Mataro G-S-M (Barossa),G-S-M,Yalumba,#26818E
7941,Australia,"This inexpensive Shiraz (60%) and Cab (40%) blend represents a solid value, blending cassis and dark coffee flavors with hints of mint and bell pepper. The green notes are adequately balanced by ripe fruit, and the tannins are extremely supple, finshing on a velvety note.",Promised Land,88,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Wakefield 2005 Promised Land Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,Wakefield,#460B5E
7951,Australia,"Features some superb elements that come off as a bit disjointed—perhaps it just needs some time? High-toned cherry fruit picks up some herbal notes and peppery cinnamon flavors, then finishes crisp, with hints of orange pekoe tea.",Clarendon,88,30.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Oliverhill 2006 Clarendon Shiraz (McLaren Vale),Shiraz,Oliverhill,#471669
8172,Australia,"Medium to full in weight and opulent in texture, this is a buttery creamy wine that reflects its South Australian origin. Broad and rich, it's a throwback to a previous generation's style of Chardonnay.",A Thousand Words,87,18.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Lambert 2014 A Thousand Words Chardonnay (Barossa Valley),Chardonnay,Lambert,#440154
8176,Australia,"Slightly smoky grilled-toast aromas lead into a plump medium-bodied wine filled with flavors of yellow plum, tangerine and lime. It's not particularly zesty or linear in a true cool-climate fashion, but steers clear of ripe tropical fruit, ending on a gentle note of citrus pith. Drink now.",Cool Climate,87,16.0,Australia Other,Australia,,Joe Czerwinski,@JoeCz,McWilliam's 2014 Cool Climate Chardonnay (Australia),Chardonnay,McWilliam's,#440154
8585,Australia,"This doesn't have the sheer breadth of many Australian Viogniers, but it offers more structure and length on the palate. Vibrant lemon-lime and pineapple aromas set the stage for flavors of tropical fruit and lemon custard. There's a slightly creamy texture and a lingering finish. Imported by Tom Eddy Wines.",Estate Grown,89,30.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,The Lane 2006 Estate Grown Viognier (Adelaide Hills),Viognier,The Lane,#45347F
8588,Australia,"Nearly a Best Buy, this Riesling offers early drinkability relative to many of its Clare cousins. Mixed citrus and crushed-stone aromas mark the nose, while the medium-bodied palate finishes long, with what seems to be a touch of sweetness. Drink now–2010.",Destinations,89,15.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Long Flat 2006 Destinations Riesling (Clare Valley),Riesling,Long Flat,#443982
8590,Australia,"On the side, with a hint of warmth on the finish, this is nevertheless a very good wine. The aromas are powerfully mineral, accented by bold lime notes, while the flavors are intense and concentrated. Drink now.",,89,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2006 Riesling (Clare Valley),Riesling,Wakefield,#443982
8596,Australia,"From a reliable Clare Valley producer, Pikes 2006 Dry Riesling appears to be an ageworthy effort, boasting plenty of crisp intensity. Lime, grapefruit and green apple notes are classic Riesling markers, ending long and mouthwatering. Drink now–2016, possibly beyond. Imported by USA Wine West.",Dry,89,25.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Pikes 2006 Dry Riesling (Clare Valley),Riesling,Pikes,#443982
8932,Australia,"Dark and rich, with aromas of cola and coffee and flavors of plum and cola. This is full-bodied, its 14.5% alcohol balanced by fruit intensity and richly textured tannins and the long finish. Drink 2010–2020.",D Block Reserve,91,50.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Shingleback 2005 D Block Reserve Shiraz (McLaren Vale),Shiraz,Shingleback,#471669
8933,Australia,"Although this winery is better known for its Shiraz, I have been a consistent fan of its Riesling as well. The 2006 offers scents of powdered minerals and lime followed by flavors of apple and citrus. It's medium-bodied but muscular, with plenty of intensity that comes through on the long finish. Drink now–2016.",,91,21.0,Victoria,Victoria,,Joe Czerwinski,@JoeCz,Mount Langi Ghiran 2006 Riesling (Victoria),Riesling,Mount Langi Ghiran,#443982
8937,Australia,"A dark and hearty McLaren Vale Shiraz, with plenty of weight and tannin and concentrated cola, black olive and leather flavors. Hints of mulberry, cedar and vanilla lighten it just enough, but this wine could use another few years before entering its prime drinking window. Finishes long and richly tannic. Drink 2010–2020.",Lloyd Reserve,91,75.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Coriole 2005 Lloyd Reserve Shiraz (McLaren Vale),Shiraz,Coriole,#471669
9004,Australia,"A solid effort that should have broad commercial appeal, Yangarra's 2006 Grenache displays a squeaky-clean bouquet of black cherries, mixed berries and a touch of vanilla. It's soft and velvety in the mouth, with a full, round presence, mixed fruit flavors and a touch of wood spice. Drink now–2010.",Old Vine Single Vineyard,88,25.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Yangarra Estate Vineyard 2006 Old Vine Single Vineyard Grenache (McLaren Vale),Grenache,Yangarra Estate Vineyard,#481C6E
9011,Australia,"Dark and taut, this is layered with lots of herbs, cedar and smoke backed by blackberry and cherry fruit. The racy palate is framed by branchy tannins and cassis flavors that linger on the medium finish.",Prelude Vineyards,88,29.0,Western Australia,Margaret River,,,,Leeuwin Estate 2004 Prelude Vineyards Cabernet Merlot (Margaret River),Cabernet Merlot,Leeuwin Estate,#365B8C
9017,Australia,"The opaque eggplant hue of this stunning value promises much—and what's in the glass delivers. Prominent oaky notes are layered over plum and high-toned floral aromas. Dense and voluptuous on the palate, with chewy tannins, this is a seriously ambitious wine that could benefit from a year or two in the bottle.",The Reserve,88,11.0,Australia Other,South Eastern Australia,,,,Yellow Tail 2006 The Reserve Merlot (South Eastern Australia),Merlot,Yellow Tail,#24848D
9023,Australia,"A solid effort, this Shiraz-Viognier blend offers up raspberry and strawberry scents punctuated by more pungent notes of road tar, licorice, cola and black olive. It's full-bodied, powered by its 15% alcohol, yet could use a richer, thicker texture. Drink now to 2011.",Two Brothers,88,23.0,South Australia,Barossa,,,,Creed of Barossa 2005 Two Brothers Shiraz-Viognier (Barossa),Shiraz-Viognier,Creed of Barossa,#462F7C
9100,Australia,An extra year has added some depth here. Lemon and apricot fruit are layered over almonds and macadamia on the nose while a hint of jasmine adds interest to the palate. The medium finish offers up an intriguing nuttiness. Best before 2012.,Kayena Vineyard,88,22.0,Tasmania,Tasmania,,,,Tamar Ridge 2007 Kayena Vineyard Pinot Gris (Tasmania),Pinot Gris,Tamar Ridge,#23888D
9234,Australia,"This wine nicely displays the fleshy pear, melon and citrus notes of unoaked Chard. It's plump and medium-bodied, with a clean, refreshing finish. What it isn't is particularly complex, but it will still go well with any number of seafood or chicken dishes this summer.",Unoaked,87,16.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Nepenthe 2006 Unoaked Chardonnay (Adelaide Hills),Chardonnay,Nepenthe,#440154
9237,Australia,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",The Derelict Vineyard,91,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2013 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,#481C6E
9251,Australia,"This doesn't appear to be the strongest recent vintage of this wine, but it remains a benchmark for McLaren Vale Shiraz. Hints of vanilla and tobacco leaf add nuance to a mix of berries ranging from red raspberry to black currant, but there's also a hint of bruised fruit and a green toughness to the tannins. Give it some time in the cellar. Drink 2020–2030.",Amery Vineyard Block 6,91,120.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Kay Brothers 2014 Amery Vineyard Block 6 Shiraz (McLaren Vale),Shiraz,Kay Brothers,#471669
9366,Australia,"Marked by simple pineapple and citrus flavors, this plump, fleshy-textured Chard turns unexpectedly crisp and slighly metallic on the finish.",Unwooded,84,17.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Schild Estate 2007 Unwooded Chardonnay (Barossa),Chardonnay,Schild Estate,#440154
9373,Australia,"Shows some rather lactic overtones to go with ample citrus and guava flavors. Medium-bodied, with a fresh, lemony finish.",Signature,83,15.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Marquee 2006 Signature Chardonnay (Yarra Valley),Chardonnay,Marquee,#440154
9483,Australia,Imported by Bluewater Wine Company.,,87,20.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Strait Jacket 2007 Sauvignon Blanc-Semillon (Western Australia),Sauvignon Blanc-Semillon,Strait Jacket,#3C4E8A
9523,Australia,"Tasted at their regular release date less than a year after the vintage, the Tahbilk Marsannes aren't terribly expressive. The key is bottle age, and this Museum Release has it. Lemon custard and thyme are tinged with hints of toast and marmalade in this medium-bodied white. A touch of creaminess on the midpalate extends through a long finish.",Museum Release,92,23.0,Victoria,Nagambie Lakes,,Joe Czerwinski,@JoeCz,Tahbilk 2009 Museum Release Marsanne (Nagambie Lakes),Marsanne,Tahbilk,#228B8D
9684,Australia,"This has all the touchstones of good Chardonnay: just enough body and richness, apple, pineapple and melon fruit flavors and a crisp, citrusy finish. Solid Chardonnay for under $10.",Morse Code,87,9.0,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Henry's Drive Vignerons 2009 Morse Code Chardonnay (Padthaway),Chardonnay,Henry's Drive Vignerons,#440154
9697,Australia,"The Nugan Vision Cabernet Sauvignon over-delivers for its price point. The fruit expression is bold and ripe, with intense raspberry and blackberry liqueur scents followed by tangy cherry pie filling in the mouth. Ends up on a lingering mocha note. Drink now to 2011.",Vision,86,12.0,New South Wales,Riverina,,,,Nugan Family Estates 2008 Vision Cabernet Sauvignon (Riverina),Cabernet Sauvignon,Nugan Family Estates,#471163
9808,Australia,"It will be interesting to see if the release of this luxury-level Shiraz (the second vintage) has any impact on the perception of Casella's other brands: Yellow Tail and Peter Lehmann. Even at nine years of age, this is impressively dark and intense, with minty notes, cedar and vanilla and meaty, umami-like flavors that linger on the long, silky finish. Drink now.",1919,93,100.0,South Australia,Wrattonbully,,Joe Czerwinski,@JoeCz,Casella 2007 1919 Shiraz (Wrattonbully),Shiraz,Casella,#471669
9828,Australia,"Cassis and chocolate notes dominate, but there's enough minty, eucalypt character to impart complexity, all framed by some firm, dusty tannins. Finishes long and mouthwatering; drink now–2015. Multiple U.S. importers.",The Villain,89,24.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Hugh Hamilton 2005 The Villain Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Hugh Hamilton,#471163
9929,Australia,"From a top subsection of McLaren Vale, this well-crafted Shiraz features a nice balance of sweet and savory notes. Ripe blackberry and plum flavors are matched by nuances of cedar, spice and meat. This creamy-textured Shiraz seems to be already approaching maturity; drink it now through 2012.",Angel Gully,90,50.0,South Australia,Clarendon,,Joe Czerwinski,@JoeCz,Joseph 2003 Angel Gully Shiraz (Clarendon),Shiraz,Joseph,#471669
9985,Australia,"Sidewood's 2009 Chardonnay is a throwback to the sort of delicious, well-priced Chardonnays Australia used to be known for, but with a touch more class. It delivers a big blast of upfront melon and peach fruit nestled in toasted cashew-like oak, then finishes fresh and citrusy. Good value for drinking over the next 6–12 months.",,89,26.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Sidewood 2009 Chardonnay (Adelaide Hills),Chardonnay,Sidewood,#440154
9993,Australia,"Perhaps this just needs some additional time for the Cabernet and Shiraz components to meld, because right now it comes across as slightly chunky and warm, with cassis and plum flavors verging on prune, yet nicely framed by vanilla and cedar. Try 2012–2020, although this wine has a track record that suggests longer aging isn't out of the question.",Bin 389,89,37.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Penfolds 2006 Bin 389 Cabernet Sauvignon-Shiraz (Barossa),Cabernet Sauvignon-Shiraz,Penfolds,#208F8C
10097,Australia,"There's a bright, almost Ribena-like quality to the fruit in this wine, with underlying hints of wood and mint. It's full bodied, but the tannins are modest and softly rounded, making it deceptively easy to down. Drink now–2018.",Menzies The Cigar,88,25.0,South Australia,Coonawarra,,Joe Czerwinski,@JoeCz,Yalumba 2009 Menzies The Cigar Cabernet Sauvignon (Coonawarra),Cabernet Sauvignon,Yalumba,#471163
10166,Australia,"The Pannell family, who founded Margaret River's Moss Wood in 1969, moved on in the mid-1990s to Pemberton, where it felt conditions were more suited to Burgundian varieties. This is a rather full-bodied Pinot Noir, with supple tannins and a long, slightly dusty finish. Light resiny notes and rooty scents add complexity to modest cherry fruit. Drink now–2020.",,87,40.0,Western Australia,Pemberton,,Joe Czerwinski,@JoeCz,Picardy 2012 Pinot Noir (Pemberton),Pinot Noir,Picardy,#414286
10265,Australia,"Mesh is a partnership between famed Clare Valley Riesling producer Jeffrey Grosset and the Hill Smith family of Yalumba. The 2012 is a solid effort, relatively light in weight but concentrated in flavor, featuring potent notes of lemon and lime sherbet. Very tart and dry on the finish, it needs either oysters or plenty of time in the cellar.",,89,35.43766346992153,South Australia,Eden Valley,,Joe Czerwinski,@JoeCz,Mesh 2012 Riesling (Eden Valley),Riesling,Mesh,#443982
10551,Australia,"This is a lean, austere—even a bit severe—Riesling that looks to need a good five years or more to mellow. Crushed stone and citrus pith finish long and painfully tart.",Mort's Reserve,89,35.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Kilikanoon 2013 Mort's Reserve Riesling (Clare Valley),Riesling,Kilikanoon,#443982
10733,Australia,"This winery was originally developed as a Cabernet specialist, and the regular 2012 bottling is another fine success. Briery, herbal shadings frame blackberry fruit, while the finish features a mouthwatering combination of mocha, dark fruit and lingering tannins. Drink this medium-bodied Cabernet now through 2025.",,91,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2012 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield,#471163
10831,Australia,"Gemtree's Obsidian Shiraz ratchets up the intensity from its usual offerings, adding structure and richness to straight-ahead aromas and flavors of cherries, coffee and vanilla. The wood sticks out a little on the finish, so give it another year or two in the bottle, then drink it over the next 10.",Obsidian,90,50.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Gemtree 2004 Obsidian Shiraz (McLaren Vale),Shiraz,Gemtree,#471669
10835,Australia,"Matured 18 months in French oak, this rich, velvety-textured Shiraz shows plenty of vanilla influence as a result. But there's also plenty of ripe blackberry fruit, and the overall impression is of a lush, fruity wine that would make a lovely steakhouse red.",Eight Songs,90,38.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Peter Lehmann 2004 Eight Songs Shiraz (Barossa),Shiraz,Peter Lehmann,#471669
10901,Australia,"This is a meaty, dark-fruited Shiraz. Seductive notes of caramelized beef and brown sugar dominate, while the wine's texture is a bit coarse, turning astringent on the finish. Try in 2017.",The Bamboo Scrub Single Vineyard,90,85.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2010 The Bamboo Scrub Single Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg,#471669
11092,Australia,"Jacob's Creek's top-end red is complex, dense and supple. A seductive bouquet of cassis, Asian spice, leather, cocoa and smoke pulls you in and the palate delivers with a thick, velvety feel and concentrated black fruit. Dry, but ripe and even tannins on the long finish portend a good future for this already attractive wine. Cellar Selection.",Limited Release,92,50.0,South Australia,South Australia,,,,Jacob's Creek 1998 Limited Release Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,Jacob's Creek,#460B5E
11098,Australia,"The blackberry, vanilla and toasty oak elements are nicely balanced on the nose and in the mouth. Deep fruit shines, and the supple mouthfeel is very appealing. Finishes long, with a compelling back-end bouquet that completes the package in fine style.",Reserve,91,18.0,South Australia,Barossa Valley,,,,Jacob's Creek 1998 Reserve Shiraz (Barossa Valley),Shiraz,Jacob's Creek,#471669
11496,Australia,"Made in a somewhat restrained, focused style, this wine features hints of smoke combined with peach and pineapple notes to create the impression of grilled fruit aromas and flavors. It's linear and crisp on the palate, with admirable length and mouthwatering citrus notes on the finish. Ready to drink now.",Kevin John,92,75.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Cullen 2008 Kevin John Chardonnay (Margaret River),Chardonnay,Cullen,#440154
11497,Australia,"Cullen's Kevin John remains one of Margaret River's (and Australia's) benchmark Chardonnays. Scents of grilled peaches lead into flavors of pineapple, vanilla and smoke, but more importantly, the palate is balanced just right. It's not too broad, not too lean; not overly sharp, but not soft. The finish is long and harmonious.",Kevin John,92,75.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Cullen 2009 Kevin John Chardonnay (Margaret River),Chardonnay,Cullen,#440154
11527,Australia,"A bold, aggressive wine that lacks a bit of elegance, the 2008 Galvo Garage is a big mouthful of cassis and cedar. In another few years it may settle down, but for now the overall impression is of a rather rough customer that's best suited to be poured alongside grilled steak.",The Galvo Garage Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,86,29.0,South Australia,McLaren Vale-Adelaide Hills,,Joe Czerwinski,@JoeCz,D'Arenberg 2008 The Galvo Garage Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot Red (McLaren Vale-Adelaide Hills),Bordeaux-style Red Blend,D'Arenberg,#1F938B
11551,Australia,"The flagship wine from a relatively new Barossa producer, the 2004 Benno features smoky, savory, spice- and meat-driven aromas that easily move into complex and well-integrated flavors of spice and dark berries. Despite its labeled 15% alcohol, the wine isn't heavy, instead offering medium body and a creamy smooth texture. Finishes long, with lingering dark fruit flavors. Drink now–2020.",Benno Shiraz-Mataro,92,75.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Murray Street 2004 Benno Shiraz-Mataro Red (Barossa Valley),Red Blend,Murray Street,#3F4788
11633,Australia,"Once past a distracting note of tire rubber, this rosé of Grenache offers aromas of wet stone and watermelon rind. Berry fruit emerges on the palate, while the dry finish picks up hints of chocolate. Drink now, but maybe give it a quick splash into a decanter to see if that improves it.",,85,23.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Schwarz Wine Company 2015 Rosé (Barossa Valley),Rosé,Schwarz Wine Company,#450558
11742,Australia,"A blend of two-thirds Shiraz, one-third Grenache, Kilikanoon's entry-level blend is a soft, easygoing combination of blackberries, cola, brown sugar and cinnamon. Drink it over the next year or two.",Killerman's Run,89,20.0,Australia Other,Australia,,Joe Czerwinski,@JoeCz,Kilikanoon 2008 Killerman's Run Shiraz-Grenache (Australia),Shiraz-Grenache,Kilikanoon,#2D6E8E
11755,Australia,"The 60% Grenache shows in this wine's red-berry aromas and flavors, while the 20% Mourvèdre imparts a slightly horsey, leathery note. It's full-bodied and lushly textured, it just doesn't seem quite as harmonious at this stage as some earlier vintages.",The Steading,89,35.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2006 The Steading Red (Barossa Valley),Rhône-style Red Blend,Torbreck,#2A768E
11827,Australia,"Yalumba has been working hard at this style of rosé, and the 2012 is very successful. It's medium in weight, with pretty red-fruit aromas and flavors of watermelon and strawberry. An undercurrent of minerality rides through the palate and finishes slightly chalky. Drink up.",The Y Series Sangiovese,88,12.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Yalumba 2012 The Y Series Sangiovese Sangiovese (South Australia),Sangiovese,Yalumba,#1E978A
11831,Australia,"A thread of dusty mushroom underlies some pretty raspberry and cream notes in this full-bodied Shiraz, adding an astringent note to the finish. Drink now–2025.",The Amaranthine Single Vineyard,88,85.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2010 The Amaranthine Single Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg,#471669
11853,Australia,"Features charred and herbal overtones, but otherwise pleasant cherry fruit and a weightiness borne of moderately high alcohol (14%). The fruit fades a bit quickly on the finish, leaving some drying tannins behind, so serve with rare beef or lamb.",Avalon Tree Single Site,84,16.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Zonte's Footstep 2008 Avalon Tree Single Site Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,Zonte's Footstep,#471163
11857,Australia,"A slightly confected, slightly herbal Cab, with sweet cherry fruit that finishes tart. Still, it's nicely creamy in texture and while simple, is pleasant enough for a midweek quaff. Drink now.",,84,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Red Knot 2008 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,Red Knot,#471163
11873,Australia,"This is labeled as Cabernet Sauvignon-Merlot, but be realistic about your expectations: This is 94% Cabernet, with only 5% Merlot and 1% Petit Verdot. Cedar, cassis, sage and bay leaf notes are classic Margaret River expressions, as is the wine's medium body and streamlined feel. It's a harmonious if not particularly flamboyant wine that will be at home with a variety of dishes. Drink now–2025.",,90,70.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Voyager Estate 2012 Cabernet Sauvignon-Merlot (Margaret River),Cabernet Sauvignon-Merlot,Voyager Estate,#345F8D
11874,Australia,"Yalumba has been pushing the organic envelope in recent years, and this Shiraz is a winner. It's full bodied and supple nearly to the point of creaminess, but delivers mixed berry, vanilla and baking-spice flavors, all with a certain amount of elegance. Drink now–2022.",Made With Organic Grapes,90,18.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Yalumba 2015 Made With Organic Grapes Shiraz (South Australia),Shiraz,Yalumba,#471669
11891,Australia,"Tasted blind, this wasn't particularly different from the other Rieslings in its flight, which were predominantly South Australian. It's got those same wet stone and citrus tendencies and is made in the same medium-bodied, dry, high-acid style. There's a touch of pineapple as well, plus a long, dry crisp finish.",Art Series,90,22.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Leeuwin Estate 2015 Art Series Riesling (Margaret River),Riesling,Leeuwin Estate,#443982
12045,Australia,"This wine's plum, mocha and cedar notes are carried by ample body and a silky texture. It's a round, supple blend of 59% Shiraz, 31% Grenache and 10% Mourvèdre that finishes long, reverberating with fresh acids and mocha shadings. Drink it over the next several years.",Plexus,90,40.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,John Duval Wines 2011 Plexus G-S-M (Barossa Valley),G-S-M,John Duval Wines,#26818E
12239,Australia,"Made by Giaconda, this white is excellent but doesn't quite live up to the winery's other top-notch offerings. (But at half the price, how can you go wrong?) It has a tropical-fruit core and a medium-bodied, viscous mouthfeel. Finishes with some length, and a buttery-resiny feel.",Nantua Les Deux,90,45.0,Victoria,Victoria,,,,Giaconda 2001 Nantua Les Deux White (Victoria),White Blend,Giaconda,#32638D
12254,Australia,"The rich blackberry, vanilla and toast nose sets you up for a lush, supple wine and this one does not disappoint. Full and dense, it offers rich black-cherry and cassis flavors on the palate, and a huge finish with fine-grained tannins. Very well poised for its size, it's approachable now. Nevertheless, it will be much more nuanced and show more finesse in 5–8 years. Keep for a decade or two, maybe more. To be released 5/01.",Bin 707,93,90.0,South Australia,South Australia,,,,Penfolds 1998 Bin 707 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,Penfolds,#471163
